Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M10;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M09;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M08;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M07;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M06;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M05;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M04;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M03;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M02;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2022M01;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M12;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M11;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M10;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M09;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M08;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M07;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M06;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M05;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M04;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M03;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M02;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2021M01;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M12;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M11;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M10;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M09;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M08;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M07;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M06;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M05;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M04;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M03;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M02;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2020M01;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M12;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M11;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M10;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M09;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M08;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M07;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M06;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M05;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M04;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M03;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M02;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2019M01;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M12;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M11;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M10;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M09;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M08;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M07;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M06;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M05;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M04;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M03;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M02;..
Number of stays;National Total;18 Ceuta;Residents in Spain;2018M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2024M09;""
Number of stays;National Total;18 Ceuta;Residents abroad;2024M08;""
Number of stays;National Total;18 Ceuta;Residents abroad;2024M07;""
Number of stays;National Total;18 Ceuta;Residents abroad;2024M06;77
Number of stays;National Total;18 Ceuta;Residents abroad;2024M05;46
Number of stays;National Total;18 Ceuta;Residents abroad;2024M04;57
Number of stays;National Total;18 Ceuta;Residents abroad;2024M03;42
Number of stays;National Total;18 Ceuta;Residents abroad;2024M02;37
Number of stays;National Total;18 Ceuta;Residents abroad;2024M01;42
Number of stays;National Total;18 Ceuta;Residents abroad;2023M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2023M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2022M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2021M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2020M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2019M01;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M12;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M11;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M10;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M09;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M08;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M07;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M06;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M05;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M04;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M03;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M02;..
Number of stays;National Total;18 Ceuta;Residents abroad;2018M01;..
Number of stays;National Total;19 Melilla;Total;2024M09;""
Number of stays;National Total;19 Melilla;Total;2024M08;""
Number of stays;National Total;19 Melilla;Total;2024M07;""
Number of stays;National Total;19 Melilla;Total;2024M06;121
Number of stays;National Total;19 Melilla;Total;2024M05;125
Number of stays;National Total;19 Melilla;Total;2024M04;113
Number of stays;National Total;19 Melilla;Total;2024M03;66
Number of stays;National Total;19 Melilla;Total;2024M02;74
Number of stays;National Total;19 Melilla;Total;2024M01;69
Number of stays;National Total;19 Melilla;Total;2023M12;..
Number of stays;National Total;19 Melilla;Total;2023M11;..
Number of stays;National Total;19 Melilla;Total;2023M10;..
Number of stays;National Total;19 Melilla;Total;2023M09;..
Number of stays;National Total;19 Melilla;Total;2023M08;..
Number of stays;National Total;19 Melilla;Total;2023M07;..
Number of stays;National Total;19 Melilla;Total;2023M06;..
Number of stays;National Total;19 Melilla;Total;2023M05;..
Number of stays;National Total;19 Melilla;Total;2023M04;..
Number of stays;National Total;19 Melilla;Total;2023M03;..
Number of stays;National Total;19 Melilla;Total;2023M02;..
Number of stays;National Total;19 Melilla;Total;2023M01;..
Number of stays;National Total;19 Melilla;Total;2022M12;..
Number of stays;National Total;19 Melilla;Total;2022M11;..
Number of stays;National Total;19 Melilla;Total;2022M10;..
Number of stays;National Total;19 Melilla;Total;2022M09;..
Number of stays;National Total;19 Melilla;Total;2022M08;..
Number of stays;National Total;19 Melilla;Total;2022M07;..
Number of stays;National Total;19 Melilla;Total;2022M06;..
Number of stays;National Total;19 Melilla;Total;2022M05;..
Number of stays;National Total;19 Melilla;Total;2022M04;..
Number of stays;National Total;19 Melilla;Total;2022M03;..
Number of stays;National Total;19 Melilla;Total;2022M02;..
Number of stays;National Total;19 Melilla;Total;2022M01;..
Number of stays;National Total;19 Melilla;Total;2021M12;..
Number of stays;National Total;19 Melilla;Total;2021M11;..
Number of stays;National Total;19 Melilla;Total;2021M10;..
Number of stays;National Total;19 Melilla;Total;2021M09;..
Number of stays;National Total;19 Melilla;Total;2021M08;..
Number of stays;National Total;19 Melilla;Total;2021M07;..
Number of stays;National Total;19 Melilla;Total;2021M06;..
Number of stays;National Total;19 Melilla;Total;2021M05;..
Number of stays;National Total;19 Melilla;Total;2021M04;..
Number of stays;National Total;19 Melilla;Total;2021M03;..
Number of stays;National Total;19 Melilla;Total;2021M02;..
Number of stays;National Total;19 Melilla;Total;2021M01;..
Number of stays;National Total;19 Melilla;Total;2020M12;..
Number of stays;National Total;19 Melilla;Total;2020M11;..
Number of stays;National Total;19 Melilla;Total;2020M10;..
Number of stays;National Total;19 Melilla;Total;2020M09;..
Number of stays;National Total;19 Melilla;Total;2020M08;..
Number of stays;National Total;19 Melilla;Total;2020M07;..
Number of stays;National Total;19 Melilla;Total;2020M06;..
Number of stays;National Total;19 Melilla;Total;2020M05;..
Number of stays;National Total;19 Melilla;Total;2020M04;..
Number of stays;National Total;19 Melilla;Total;2020M03;..
Number of stays;National Total;19 Melilla;Total;2020M02;..
Number of stays;National Total;19 Melilla;Total;2020M01;..
Number of stays;National Total;19 Melilla;Total;2019M12;..
Number of stays;National Total;19 Melilla;Total;2019M11;..
Number of stays;National Total;19 Melilla;Total;2019M10;..
Number of stays;National Total;19 Melilla;Total;2019M09;..
Number of stays;National Total;19 Melilla;Total;2019M08;..
Number of stays;National Total;19 Melilla;Total;2019M07;..
Number of stays;National Total;19 Melilla;Total;2019M06;..
Number of stays;National Total;19 Melilla;Total;2019M05;..
Number of stays;National Total;19 Melilla;Total;2019M04;..
Number of stays;National Total;19 Melilla;Total;2019M03;..
Number of stays;National Total;19 Melilla;Total;2019M02;..
Number of stays;National Total;19 Melilla;Total;2019M01;..
Number of stays;National Total;19 Melilla;Total;2018M12;..
Number of stays;National Total;19 Melilla;Total;2018M11;..
Number of stays;National Total;19 Melilla;Total;2018M10;..
Number of stays;National Total;19 Melilla;Total;2018M09;..
Number of stays;National Total;19 Melilla;Total;2018M08;..
Number of stays;National Total;19 Melilla;Total;2018M07;..
Number of stays;National Total;19 Melilla;Total;2018M06;..
Number of stays;National Total;19 Melilla;Total;2018M05;..
Number of stays;National Total;19 Melilla;Total;2018M04;..
Number of stays;National Total;19 Melilla;Total;2018M03;..
Number of stays;National Total;19 Melilla;Total;2018M02;..
Number of stays;National Total;19 Melilla;Total;2018M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2024M09;""
Number of stays;National Total;19 Melilla;Residents in Spain;2024M08;""
Number of stays;National Total;19 Melilla;Residents in Spain;2024M07;""
Number of stays;National Total;19 Melilla;Residents in Spain;2024M06;94
Number of stays;National Total;19 Melilla;Residents in Spain;2024M05;93
Number of stays;National Total;19 Melilla;Residents in Spain;2024M04;81
Number of stays;National Total;19 Melilla;Residents in Spain;2024M03;55
Number of stays;National Total;19 Melilla;Residents in Spain;2024M02;56
Number of stays;National Total;19 Melilla;Residents in Spain;2024M01;50
Number of stays;National Total;19 Melilla;Residents in Spain;2023M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2023M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2022M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2021M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2020M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2019M01;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M12;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M11;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M10;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M09;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M08;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M07;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M06;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M05;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M04;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M03;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M02;..
Number of stays;National Total;19 Melilla;Residents in Spain;2018M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2024M09;""
Number of stays;National Total;19 Melilla;Residents abroad;2024M08;""
Number of stays;National Total;19 Melilla;Residents abroad;2024M07;""
Number of stays;National Total;19 Melilla;Residents abroad;2024M06;27
Number of stays;National Total;19 Melilla;Residents abroad;2024M05;32
Number of stays;National Total;19 Melilla;Residents abroad;2024M04;32
Number of stays;National Total;19 Melilla;Residents abroad;2024M03;11
Number of stays;National Total;19 Melilla;Residents abroad;2024M02;18
Number of stays;National Total;19 Melilla;Residents abroad;2024M01;19
Number of stays;National Total;19 Melilla;Residents abroad;2023M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2023M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2022M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2021M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2020M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2019M01;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M12;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M11;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M10;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M09;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M08;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M07;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M06;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M05;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M04;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M03;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M02;..
Number of stays;National Total;19 Melilla;Residents abroad;2018M01;..
Number of nights;National Total;;Total;2024M09;5.312.141
Number of nights;National Total;;Total;2024M08;7.719.338
Number of nights;National Total;;Total;2024M07;6.752.062
Number of nights;National Total;;Total;2024M06;4.855.949
Number of nights;National Total;;Total;2024M05;4.475.092
Number of nights;National Total;;Total;2024M04;3.896.281
Number of nights;National Total;;Total;2024M03;3.991.610
Number of nights;National Total;;Total;2024M02;3.359.364
Number of nights;National Total;;Total;2024M01;3.033.883
Number of nights;National Total;;Total;2023M12;3.402.000
Number of nights;National Total;;Total;2023M11;3.076.000
Number of nights;National Total;;Total;2023M10;4.103.000
Number of nights;National Total;;Total;2023M09;4.521.000
Number of nights;National Total;;Total;2023M08;6.555.000
Number of nights;National Total;;Total;2023M07;5.766.000
Number of nights;National Total;;Total;2023M06;3.989.000
Number of nights;National Total;;Total;2023M05;3.435.000
Number of nights;National Total;;Total;2023M04;3.775.000
Number of nights;National Total;;Total;2023M03;2.846.000
Number of nights;National Total;;Total;2023M02;2.608.000
Number of nights;National Total;;Total;2023M01;2.505.000
Number of nights;National Total;;Total;2022M12;2.716.000
Number of nights;National Total;;Total;2022M11;2.437.000
Number of nights;National Total;;Total;2022M10;3.315.000
Number of nights;National Total;;Total;2022M09;3.868.000
Number of nights;National Total;;Total;2022M08;5.846.000
Number of nights;National Total;;Total;2022M07;5.292.000
Number of nights;National Total;;Total;2022M06;3.623.000
Number of nights;National Total;;Total;2022M05;2.969.000
Number of nights;National Total;;Total;2022M04;3.124.000
Number of nights;National Total;;Total;2022M03;2.295.000
Number of nights;National Total;;Total;2022M02;2.093.000
Number of nights;National Total;;Total;2022M01;1.802.000
Number of nights;National Total;;Total;2021M12;2.041.000
Number of nights;National Total;;Total;2021M11;1.870.000
Number of nights;National Total;;Total;2021M10;2.546.000
Number of nights;National Total;;Total;2021M09;2.745.000
Number of nights;National Total;;Total;2021M08;4.621.000
Number of nights;National Total;;Total;2021M07;3.756.000
Number of nights;National Total;;Total;2021M06;1.908.000
Number of nights;National Total;;Total;2021M05;1.259.000
Number of nights;National Total;;Total;2021M04;868.000
Number of nights;National Total;;Total;2021M03;775.000
Number of nights;National Total;;Total;2021M02;520.000
Number of nights;National Total;;Total;2021M01;562.000
Number of nights;National Total;;Total;2020M12;717.000
Number of nights;National Total;;Total;2020M11;555.000
Number of nights;National Total;;Total;2020M10;900.000
Number of nights;National Total;;Total;2020M09;1.309.000
Number of nights;National Total;;Total;2020M08;3.273.000
Number of nights;National Total;;Total;2020M07;2.343.000
Number of nights;National Total;;Total;2020M06;519.000
Number of nights;National Total;;Total;2020M05;168.000
Number of nights;National Total;;Total;2020M04;139.000
Number of nights;National Total;;Total;2020M03;1.038.000
Number of nights;National Total;;Total;2020M02;2.125.000
Number of nights;National Total;;Total;2020M01;1.910.000
Number of nights;National Total;;Total;2019M12;2.163.000
Number of nights;National Total;;Total;2019M11;1.945.000
Number of nights;National Total;;Total;2019M10;2.734.000
Number of nights;National Total;;Total;2019M09;3.394.000
Number of nights;National Total;;Total;2019M08;5.073.000
Number of nights;National Total;;Total;2019M07;4.299.000
Number of nights;National Total;;Total;2019M06;3.145.000
Number of nights;National Total;;Total;2019M05;2.508.000
Number of nights;National Total;;Total;2019M04;2.572.000
Number of nights;National Total;;Total;2019M03;2.029.000
Number of nights;National Total;;Total;2019M02;1.760.000
Number of nights;National Total;;Total;2019M01;1.639.000
Number of nights;National Total;;Total;2018M12;1.863.000
Number of nights;National Total;;Total;2018M11;1.719.000
Number of nights;National Total;;Total;2018M10;2.469.000
Number of nights;National Total;;Total;2018M09;3.069.000
Number of nights;National Total;;Total;2018M08;4.523.000
Number of nights;National Total;;Total;2018M07;3.952.000
Number of nights;National Total;;Total;2018M06;2.713.000
Number of nights;National Total;;Total;2018M05;2.237.000
Number of nights;National Total;;Total;2018M04;2.080.000
Number of nights;National Total;;Total;2018M03;1.947.000
Number of nights;National Total;;Total;2018M02;1.520.000
Number of nights;National Total;;Total;2018M01;1.403.000
Number of nights;National Total;;Residents in Spain;2024M09;1.719.429
Number of nights;National Total;;Residents in Spain;2024M08;3.568.138
Number of nights;National Total;;Residents in Spain;2024M07;2.764.615
Number of nights;National Total;;Residents in Spain;2024M06;1.703.921
Number of nights;National Total;;Residents in Spain;2024M05;1.301.055
