Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;;Residents in Spain;2020M12;103.000
Number of stays;National Total;;Residents in Spain;2020M11;62.000
Number of stays;National Total;;Residents in Spain;2020M10;161.000
Number of stays;National Total;;Residents in Spain;2020M09;245.000
Number of stays;National Total;;Residents in Spain;2020M08;498.000
Number of stays;National Total;;Residents in Spain;2020M07;357.000
Number of stays;National Total;;Residents in Spain;2020M06;123.000
Number of stays;National Total;;Residents in Spain;2020M05;24.000
Number of stays;National Total;;Residents in Spain;2020M04;7.000
Number of stays;National Total;;Residents in Spain;2020M03;76.000
Number of stays;National Total;;Residents in Spain;2020M02;224.000
Number of stays;National Total;;Residents in Spain;2020M01;172.000
Number of stays;National Total;;Residents in Spain;2019M12;253.000
Number of stays;National Total;;Residents in Spain;2019M11;204.000
Number of stays;National Total;;Residents in Spain;2019M10;231.000
Number of stays;National Total;;Residents in Spain;2019M09;293.000
Number of stays;National Total;;Residents in Spain;2019M08;486.000
Number of stays;National Total;;Residents in Spain;2019M07;376.000
Number of stays;National Total;;Residents in Spain;2019M06;301.000
Number of stays;National Total;;Residents in Spain;2019M05;238.000
Number of stays;National Total;;Residents in Spain;2019M04;267.000
Number of stays;National Total;;Residents in Spain;2019M03;201.000
Number of stays;National Total;;Residents in Spain;2019M02;160.000
Number of stays;National Total;;Residents in Spain;2019M01;136.000
Number of stays;National Total;;Residents in Spain;2018M12;202.000
Number of stays;National Total;;Residents in Spain;2018M11;174.000
Number of stays;National Total;;Residents in Spain;2018M10;210.000
Number of stays;National Total;;Residents in Spain;2018M09;264.000
Number of stays;National Total;;Residents in Spain;2018M08;414.000
Number of stays;National Total;;Residents in Spain;2018M07;330.000
Number of stays;National Total;;Residents in Spain;2018M06;253.000
Number of stays;National Total;;Residents in Spain;2018M05;177.000
Number of stays;National Total;;Residents in Spain;2018M04;194.000
Number of stays;National Total;;Residents in Spain;2018M03;217.000
Number of stays;National Total;;Residents in Spain;2018M02;137.000
Number of stays;National Total;;Residents in Spain;2018M01;119.000
Number of stays;National Total;;Residents abroad;2024M09;691.996
Number of stays;National Total;;Residents abroad;2024M08;716.531
Number of stays;National Total;;Residents abroad;2024M07;689.480
Number of stays;National Total;;Residents abroad;2024M06;623.318
Number of stays;National Total;;Residents abroad;2024M05;682.388
Number of stays;National Total;;Residents abroad;2024M04;598.678
Number of stays;National Total;;Residents abroad;2024M03;483.175
Number of stays;National Total;;Residents abroad;2024M02;418.424
Number of stays;National Total;;Residents abroad;2024M01;351.301
Number of stays;National Total;;Residents abroad;2023M12;378.000
Number of stays;National Total;;Residents abroad;2023M11;399.000
Number of stays;National Total;;Residents abroad;2023M10;567.000
Number of stays;National Total;;Residents abroad;2023M09;572.000
